No,カテゴリ,質問項目,プロンプト,救急受診ガイドの判定
434,口の中や歯の問題（成人・小児）,一般的な口のケアにも関わらず、痛みが消えませんか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。一般的な口のケアにも関わらず、痛みが消えませんか？はい。,緑
435,口の中や歯の問題（成人・小児）,歯が折れたり、歯を抜いたりしていないが、抗凝固薬（血をさらさらにする薬）などを服用していますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。歯が折れたり、歯を抜いたりしていないが、抗凝固薬（血をさらさらにする薬）などを服用していますか？はい。,緑
436,口の中や歯の問題（成人・小児）,歯茎（はぐき）・歯肉が赤くはれていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。歯茎（はぐき）・歯肉が赤くはれていますか？はい。,緑
437,口の中や歯の問題（成人・小児）,舌に発疹がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。舌に発疹がありますか？はい。,緑
438,口の中や歯の問題（成人・小児）,虫歯（う歯）がありますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。虫歯（う歯）がありますか？はい。,緑
439,口の中や歯の問題（成人・小児）,歯の揺れ、抜け、欠け、詰め物・矯正を含む歯科治療後の不具合がありますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。歯の揺れ、抜け、欠け、詰め物・矯正を含む歯科治療後の不具合がありますか？はい。,緑
440,口の中や歯の問題（成人・小児）,知覚過敏、ヒリヒリ感がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。知覚過敏、ヒリヒリ感がありますか？はい。,緑
441,口の中や歯の問題（成人・小児）,喫煙者、噛みタバコを利用していますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。喫煙者、噛みタバコを利用していますか？はい。,緑
442,口の中や歯の問題（成人・小児）,歯痛があり、欠けている歯（けがではない）がありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。歯痛があり、欠けている歯（けがではない）がありますか？はい。,緑
443,口の中や歯の問題（成人・小児）,歯痛があるが、日常生活の中で痛みがないときがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。歯痛があるが、日常生活の中で痛みがないときがありますか？はい。,緑
444,口の中や歯の問題（成人・小児）,歯痛があり、歯茎（はぐき）から血が出ますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。歯痛があり、歯茎（はぐき）から血が出ますか？はい。,緑
445,口の中や歯の問題（成人・小児）,食事をするときや食後に痛みが続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。口の中や歯の問題（成人・小児）。食事をするときや食後に痛みが続いていますか？はい。,緑
446,手や腕の問題（成人・小児）,きずはないが痛みとはれがありますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。きずはないが痛みとはれがありますか？はい。,緑
447,手や腕の問題（成人・小児）,きずはないが指輪が抜けなくなりましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手や腕の問題（成人・小児）。きずはないが指輪が抜けなくなりましたか？はい。,緑
448,足（太もものつけ根から足首）の問題（成人・小児）,現在、喉（のど）の痛みがありますか？　〔または〕　大きな病気（心臓の病気、肝臓病、腎臓病、がん）を治療中ですか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。現在、喉（のど）の痛みがありますか？または大きな病気（心臓の病気、肝臓病、腎臓病、がん）を治療中ですか？はい。,緑
449,足（太もものつけ根から足首）の問題（成人・小児）,両側の足首の関節のはれ　〔または〕　むくみがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。両側の足首の関節のはれまたはむくみがありますか？はい。,緑
450,足（太もものつけ根から足首）の問題（成人・小児）,脚や足首以外にも痛みがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。脚や足首以外にも痛みがありますか？はい。,緑
451,足（太もものつけ根から足首）の問題（成人・小児）,最近、新しい薬を飲みはじめましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。最近、新しい薬を飲みはじめましたか？はい。,緑
452,足（太もものつけ根から足首）の問題（成人・小児）,しびれや痛み以外の症状が1 週間以上続いていますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。しびれや痛み以外の症状が1週間以上続いていますか？はい。,緑
453,足（太もものつけ根から足首）の問題（成人・小児）,最近、体重が増えましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。最近、体重が増えましたか？はい。,緑
454,足（太もものつけ根から足首）の問題（成人・小児）,体がだるいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。体がだるいですか？はい。,緑
455,足（太もものつけ根から足首）の問題（成人・小児）,脚のしびれや痛みが続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。脚のしびれや痛みが続いていますか？はい。,緑
456,足（太もものつけ根から足首）の問題（成人・小児）,足の手術をしたことがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。足の手術をしたことがありますか？はい。,緑
457,足（太もものつけ根から足首）の問題（成人・小児）,妊娠中で突然体重が増えましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足（太もものつけ根から足首）の問題（成人・小児）。妊娠中で突然体重が増えましたか？はい。,緑
458,足首から先の問題（成人・小児）,現在、喉（のど）の痛みがありますか？〔または〕 　大きな病気（心臓の病気、肝臓病、腎臓病、悪性腫瘍）を治療中ですか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。現在、喉（のど）の痛みがありますか？または大きな病気（心臓の病気、肝臓病、腎臓病、悪性腫瘍）を治療中ですか？はい。,緑
459,足首から先の問題（成人・小児）,両側の足首の関節の　はれ　〔または〕　むくみがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。両側の足首の関節のはれまたはむくみがありますか？はい。,緑
460,足首から先の問題（成人・小児）,足首以外の他の関節にも痛みがありますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。足首以外の他の関節にも痛みがありますか？はい。,緑
461,足首から先の問題（成人・小児）,最近、新しい薬を飲みはじめましたか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。最近、新しい薬を飲みはじめましたか？はい。,緑
462,足首から先の問題（成人・小児）,しびれや痛み以外の症状が1 週間以上続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。しびれや痛み以外の症状が1週間以上続いていますか？はい。,緑
463,足首から先の問題（成人・小児）,最近、体重が増えましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。最近、体重が増えましたか？はい。,緑
464,足首から先の問題（成人・小児）,体がだるいですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。体がだるいですか？はい。,緑
465,足首から先の問題（成人・小児）,足のしびれや痛みが続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。足のしびれや痛みが続いていますか？はい。,緑
466,足首から先の問題（成人・小児）,水虫や疥癬（かいせん）など皮膚の病気にかかったことがありますか？　〔または〕　足の手術をしたことがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。水虫や疥癬（かいせん）など皮膚の病気にかかったことがありますか？または足の手術をしたことがありますか？はい。,緑
467,足首から先の問題（成人・小児）,妊娠中で、突然体重が増えましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。足首から先の問題（成人・小児）。妊娠中で、突然体重が増えましたか？はい。,緑
468,やけど（成人・小児）,水ぶくれはなく、赤くなっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。水ぶくれはなく、赤くなっていますか？はい。,緑
469,やけど（成人・小児）,痛みはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。やけど（成人・小児）。痛みはありますか？はい。,緑
470,頭のけが（成人）,頭を打った,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。頭を打ったはい。,緑
471,頭のけが（成人）,心配だ,あなたは救急医です。救急受診が必要かどうかを判断してください。頭のけが（成人）。心配だはい。,緑
472,眼のけが（成人・小児）,眼の周りが青あざになっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。眼の周りが青あざになっていますか？はい。,緑
473,眼のけが（成人・小児）,けがをした後、痛み、はれ、赤み、熱っぽい感じのいずれかがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。けがをした後、痛み、はれ、赤み、熱っぽい感じのいずれかがありますか？はい。,緑
474,眼のけが（成人・小児）,けがをした後　〔または〕　異物を取った後、不快感が1 日以上続いていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。けがをした後または異物を取った後、不快感が1日以上続いていますか？はい。,緑
475,眼のけが（成人・小児）,3 日以上、白眼が赤くなっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。眼のけが（成人・小児）。3日以上、白眼が赤くなっていますか？はい。,緑
476,手足・顔面の外傷（成人・小児）,けがをした後48 時間以上たってから、はれてきましたか？　〔または〕　変が変わってきましたか？,あなたは救急医です。救急受診が必要かどうかを判断してください。手足・顔面の外傷（成人・小児）。けがをした後48時間以上たってから、はれてきましたか？または変が変わってきましたか？はい。,緑
477,何か固形物を飲み込んだ（成人・小児）,異物を飲み込んだが症状がまったくないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。異物を飲み込んだが症状がまったくないですか？はい。,緑
478,何か固形物を飲み込んだ（成人・小児）,喉（のど）に違和感が残っていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。何か固形物を飲み込んだ（成人・小児）。喉（のど）に違和感が残っていますか？はい。,緑
479,薬をたくさん飲んだ・間違った薬を飲んだ（成人・小児）,"ヒューヒュー、ゼーゼーしていますか？　〔または〕　呼吸が浅い　〔または〕　ゆっくりですか？
胸が痛いですか？
激しくおなかが痛みますか？
吐き気がありますか？　〔または〕　吐きましたか？
自殺が目的でしたか？
飲酒しましたか？
下痢をしていますか？
何か気になることがありますか？
以上の項目に当てはまらないとき。 ",あなたは救急医です。救急受診が必要かどうかを判断してください。薬をたくさん飲んだ・間違った薬を飲んだ（成人・小児）。以下の項目には当てはまりません。ヒューヒュー、ゼーゼーしていますか？または呼吸が浅いまたはゆっくりですか？胸が痛いですか？激しくおなかが痛みますか？吐き気がありますか？または吐きましたか？自殺が目的でしたか？飲酒しましたか？下痢をしていますか？何か気になることがありますか？,緑
480,小児 発熱（小児）," 意識がもうろうとしていますか？〔または〕おかしなことを口走っていますか？
（声をかけても ふつうに受け答えできない）
興奮していますか？〔または〕あばれていますか？（声をかけても ふつうに受け答えできない）
3 ヵ月未満ですか?
8 時間以上うとうとしていますか？（声をかければ ふつうに受け答えできる）
元気がなく〔かつ〕ぐったりしていますか？
ひどい頭痛がありますか？
何か特別な病気（ステロイド剤服用中、免疫不全、悪性腫瘍、先天性心疾患など）で病院に
かかっていて、熱が出たらすぐ病院に行くように言われていますか？
水分を十分に取れていないですか？（飲む量や回数が減っている）
尿量や尿の回数が減ったり、尿の色が濃くなったりしていますか？（脱水徴候）
ほとんど涙が出ないですか？〔または〕口の中や 舌が乾いていますか？　（脱水徴候）
尿が出るとき、痛がりますか？〔または〕尿の色や臭いが、普段と違いますか？
１ヶ月以内に海外に渡航しましたか？ （北米・ヨーロッパ以外）
２回以上〔または〕多量の下痢がありますか？
吐き気 や 嘔吐 はありますか？
強い腹痛がありますか？
咳〔または〕鼻汁 で つらそうですか？
暑い所 や 蒸し暑い所に しばらくいましたか？〔または〕激しい運動の後ですか？
全身が赤いですか？　〔または〕　発疹（体が赤くなっている　〔または〕　蕁麻疹のようにブツブツが出ている）はありますか？
耳を痛がりますか？
耳の穴から膿が出ていますか / 耳だれがありますか？
以上の項目に当てはまらないとき。",あなたは救急医です。救急受診が必要かどうかを判断してください。小児発熱（小児）。以下の項目には当てはまりません。意識がもうろうとしていますか？またはおかしなことを口走っていますか？（声をかけてもふつうに受け答えできない）興奮していますか？またはあばれていますか？（声をかけてもふつうに受け答えできない）3ヵ月未満ですか?8時間以上うとうとしていますか？（声をかければふつうに受け答えできる）元気がなくかつぐったりしていますか？ひどい頭痛がありますか？何か特別な病気（ステロイド剤服用中、免疫不全、悪性腫瘍、先天性心疾患など）で病院にかかっていて、熱が出たらすぐ病院に行くように言われていますか？水分を十分に取れていないですか？（飲む量や回数が減っている）尿量や尿の回数が減ったり、尿の色が濃くなったりしていますか？（脱水徴候）ほとんど涙が出ないですか？または口の中や舌が乾いていますか？（脱水徴候）尿が出るとき、痛がりますか？または尿の色や臭いが、普段と違いますか？１ヶ月以内に海外に渡航しましたか？（北米・ヨーロッパ以外）２回以上または多量の下痢がありますか？吐き気や嘔吐はありますか？強い腹痛がありますか？咳または鼻汁でつらそうですか？暑い所や蒸し暑い所にしばらくいましたか？または激しい運動の後ですか？全身が赤いですか？または発疹（体が赤くなっているまたは蕁麻疹のようにブツブツが出ている）はありますか？耳を痛がりますか？耳の穴から膿が出ていますか/耳だれがありますか？,緑
481,小児 痙攣（ひきつけ）・震え（小児）,痙攣かどうか、わからないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児痙攣（ひきつけ）・震え（小児）。小児痙攣（ひきつけ）・震え（小児）。痙攣かどうか、わからないですか？はい。,
482,小児 痙攣（ひきつけ）・震え（小児）,"痙攣はまだ続いていますか？ 
痙攣が収まってからも、意識が戻らないままですか？ 〔または〕様子がおかしいですか？
（声をかけてもふつうに受け答えできない）
痙攣が収まってからも、顔や唇の色が紫色のままですか？ 
最近 頭を強くぶつけたことがありましたかか？ 
生まれて初めての痙攣ですか？ 
今回の痙攣は繰り返し起こりましたか？ 
痙攣に左右差はありましたか？ 
興奮していますか？〔または〕あばれていますか？ 
意識が戻っても、不機嫌な状態〔または〕8 時間以上うとうとした状態が続いていますか？
（ 声をかければ 受け答えできる）
医師から予防投与を指示されている 〔かつ〕予防薬（ダイアップ坐薬など）の手持ちが切れてしまいましたか？ 
今までに何回も、同様の けいれんをおこしていますか？ 
水分を十分に取れていないですか？（飲む量や回数が減っている）
尿量や 尿の回数が減ったり、尿の色が濃くなったりしていますか？（脱水徴候）
発熱がない状態での痙攣しましたか? 
痙攣かどうか、わからないですか？ 
以上の項目に当てはまらないとき。",あなたは救急医です。救急受診が必要かどうかを判断してください。小児痙攣（ひきつけ）・震え（小児）。以下の項目には当てはまりません。痙攣はまだ続いていますか？痙攣が収まってからも、意識が戻らないままですか？または様子がおかしいですか？（声をかけてもふつうに受け答えできない）痙攣が収まってからも、顔や唇の色が紫色のままですか？最近頭を強くぶつけたことがありましたかか？生まれて初めての痙攣ですか？今回の痙攣は繰り返し起こりましたか？痙攣に左右差はありましたか？興奮していますか？またはあばれていますか？意識が戻っても、不機嫌な状態または8時間以上うとうとした状態が続いていますか？（声をかければ受け答えできる）医師から予防投与を指示されているかつ予防薬（ダイアップ坐薬など）の手持ちが切れてしまいましたか？今までに何回も、同様のけいれんをおこしていますか？水分を十分に取れていないですか？（飲む量や回数が減っている）尿量や尿の回数が減ったり、尿の色が濃くなったりしていますか？（脱水徴候）発熱がない状態での痙攣しましたか?痙攣かどうか、わからないですか？,緑
483,小児 咳（小児）,痰のからむ咳ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児咳（小児）。痰のからむ咳ですか？はい。,緑
484,小児 咳（小児）,咳と一緒に少し血液がみられましたか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。小児咳（小児）。咳と一緒に少し血液がみられましたか？はい。,緑
485,小児 咳（小児）,周囲に麻疹やインフルエンザに罹った方はいますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児咳（小児）。周囲に麻疹やインフルエンザに罹った方はいますか？はい。,緑
486,小児 咳（小児）,鼻水･鼻づまりはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児咳（小児）。鼻水･鼻づまりはありますか？はい。,緑
487,小児 咳（小児）,食欲がないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児咳（小児）。食欲がないですか？はい。,緑
488,小児 咳（小児）,発熱（38℃以上）はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児咳（小児）。発熱（38℃以上）はありますか？はい。,緑
489,小児 喘息・喘息様症状（小児）,発熱（38℃以上）はありますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。小児喘息・喘息様症状（小児）。発熱（38℃以上）はありますか？はい。,緑
490,小児 喘息・喘息様症状（小児）,黄～緑色の痰が出ていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児喘息・喘息様症状（小児）。黄～緑色の痰が出ていますか？はい。,緑
491,小児 喘息・喘息様症状（小児）,アレルギーはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児喘息・喘息様症状（小児）。アレルギーはありますか？はい。,緑
492,小児 喘息・喘息様症状（小児）,鼻水･鼻づまりはありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児喘息・喘息様症状（小児）。鼻水･鼻づまりはありますか？はい。,緑
493,小児 呼吸苦（小児）,アレルギーはありますか？ ,あなたは救急医です。救急受診が必要かどうかを判断してください。小児呼吸苦（小児）。アレルギーはありますか？はい。,緑
494,小児 呼吸苦（小児）,"きちんと呼吸できない状態ですか？ 
顔色や唇の色が紫色ですか？
意識がないようですか？　受け答えができない / 呼びかけに反応しない状態ですか？ 
咳がひどくて 横になれないですか？　〔または〕　歩けませんか？　〔または〕　会話できませんか？ 
盛り上がった発疹があり　〔かつ〕　かゆがっていますか？ 
咳が始まる前に口に何か食べて　〔または〕　口にくわえていましたか？
（ピーナッツや大豆などの豆類などを含む）
何か変なものを吸い込みましたか？〔または〕その可能性がありますか？ 
胸が痛いですか？ 
ヒューヒュー、ゼーゼーが強く　〔または〕　息を吐く時間が長くなっていますか？ 
咳がひどくて 眠れないですか？ 
それまで症状がなかったのに、突然に始まりましたか？ 
何かを食べたり、薬を飲んだり、虫に刺されたりしたあとに、症状がでてきましたか？ 
普段と比べて（浅く）早い呼吸をしていますか？ 
水分が口からとれない（よう）ですか？　〔または〕　吐き気・嘔吐がありますか？ 
喘息の治療を受けていて　〔かつ〕　医師の指示通り薬剤を使ってもよくなりませんか？ 
尿量が減ったり、濃くなったりしていますか？〔または〕喉がひどく渇いているようですか？（脱水徴候）
喘息発作を起こすと一気に悪くなりやすいですか？ 
今までに何回も喘息発作〔または〕喘息様気管支炎で入院したことがありますか？ 
アレルギーはありますか？ 
以上の項目が当てはまらないとき",あなたは救急医です。救急受診が必要かどうかを判断してください。小児呼吸苦（小児）。以下の項目には当てはまりません。きちんと呼吸できない状態ですか？顔色や唇の色が紫色ですか？意識がないようですか？受け答えができない/呼びかけに反応しない状態ですか？咳がひどくて横になれないですか？または歩けませんか？または会話できませんか？盛り上がった発疹がありかつかゆがっていますか？咳が始まる前に口に何か食べてまたは口にくわえていましたか？（ピーナッツや大豆などの豆類などを含む）何か変なものを吸い込みましたか？またはその可能性がありますか？胸が痛いですか？ヒューヒュー、ゼーゼーが強くまたは息を吐く時間が長くなっていますか？咳がひどくて眠れないですか？それまで症状がなかったのに、突然に始まりましたか？何かを食べたり、薬を飲んだり、虫に刺されたりしたあとに、症状がでてきましたか？普段と比べて（浅く）早い呼吸をしていますか？水分が口からとれない（よう）ですか？または吐き気・嘔吐がありますか？喘息の治療を受けていてかつ医師の指示通り薬剤を使ってもよくなりませんか？尿量が減ったり、濃くなったりしていますか？または喉がひどく渇いているようですか？（脱水徴候）喘息発作を起こすと一気に悪くなりやすいですか？今までに何回も喘息発作または喘息様気管支炎で入院したことがありますか？アレルギーはありますか？,緑
495,小児 発疹（小児）,"赤～紫色の点々（出血斑）が下肢その他にたくさんみられますか？　〔または〕　透明なガラ
スで皮膚を押しても点々が消えませんか？全身に盛り上がった発疹がみられ　〔かつ〕　かゆがっていますか？盛り上がった発疹が散在し　〔かつ〕　かゆがっていますか？舌にイチゴのようなザラザラがみられますか？眼や唇が真っ赤ですか？皮膚のブツブツに膿/ 汁が出ていますか？
上記に該当しないさまざまな発疹（湿疹、突発性発疹、虫刺され、アトピー性皮膚炎の増悪、など）がありますか？",あなたは救急医です。救急受診が必要かどうかを判断してください。小児発疹（小児）。赤～紫色の点々（出血斑）が下肢その他にたくさんみられますか？または透明なガラスで皮膚を押しても点々が消えませんか？全身に盛り上がった発疹がみられかつかゆがっていますか？盛り上がった発疹が散在しかつかゆがっていますか？舌にイチゴのようなザラザラがみられますか？眼や唇が真っ赤ですか？皮膚のブツブツに膿/汁が出ていますか？上記に該当しないさまざまな発疹（湿疹、突発性発疹、虫刺され、アトピー性皮膚炎の増悪、など）がありますか？はい。,緑
496,小児 発疹（小児）,最近に予防接種を受け、接種した局所の腫れのみがありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児発疹（小児）。最近に予防接種を受け、接種した局所の腫れのみがありますか？はい。,緑
497,小児 発疹（小児）,草原や野山で遊びましたか？（虫刺されやかぶれの可能性）,あなたは救急医です。救急受診が必要かどうかを判断してください。小児発疹（小児）。草原や野山で遊びましたか？（虫刺されやかぶれの可能性）はい。,緑
498,小児 吐き気･吐いた（小児）,現在、吐いてはいない〔かつ〕気持ち悪がっていますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児吐き気･吐いた（小児）。現在、吐いてはいないかつ気持ち悪がっていますか？はい。,緑
499,小児 吐き気･吐いた（小児）,家族･近所･保育園･幼稚園･学校などで同じような症状の人が多いですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児吐き気･吐いた（小児）。家族･近所･保育園･幼稚園･学校などで同じような症状の人が多いですか？はい。,緑
500,小児 吐き気･吐いた（小児）,便秘はありますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児吐き気･吐いた（小児）。便秘はありますか？はい。,緑
501,小児 吐き気･吐いた（小児）,同じような症状を以前からよく起こしますか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児吐き気･吐いた（小児）。同じような症状を以前からよく起こしますか？はい。,緑
502,小児 下痢（小児）,"便と一緒にたくさんの血が混じっていますか？　〔または〕　便にイチゴゼリー様のものが混じっていますか？ 
嘔吐を何度も繰り返していますか？（回数の目安：6 回以上〔または〕吐物中に食物残渣がみられなくなっても2 ～ 3 回以上嘔吐を繰り返している）
元気がなく　〔かつ〕　ぐったりしていますか？ 
8 時間以上うとうとしていますか？ （声をかければ 受け答えできる）
嘔吐　〔または〕　腹痛がひどいですか？ 
尿が8-12 時間以上でていませんか？　（脱水徴候）
泣いてもほとんど涙が出ないですか？　（脱水徴候）
頻繁に下痢がありますか？　
おなかをかなり痛がりますか？ 
尿量が減ったり、尿が濃くなったりしていますか？ 
嘔吐がありますか？ 
水分が十分にとれませんか？ 
家族･近所･保育園･幼稚園･学校などで同じような症状の人が多いですか？ 
一緒に食事をした人が、同様の症状を訴えていますか？ 
最近、外食･生もの･保存状態のよくない食品などを食べましたか？ 
嘔吐が３回以上つづいていますか？ 
１ヶ月以内に海外に渡航しましたか？ （北米・ヨーロッパ以外）
以上の項目に当てはまらないとき。",あなたは救急医です。救急受診が必要かどうかを判断してください。小児下痢（小児）。以下の項目には当てはまりません。便と一緒にたくさんの血が混じっていますか？または便にイチゴゼリー様のものが混じっていますか？嘔吐を何度も繰り返していますか？（回数の目安：6回以上または吐物中に食物残渣がみられなくなっても2～3回以上嘔吐を繰り返している）元気がなくかつぐったりしていますか？8時間以上うとうとしていますか？（声をかければ受け答えできる）嘔吐または腹痛がひどいですか？尿が8-12時間以上でていませんか？（脱水徴候）泣いてもほとんど涙が出ないですか？（脱水徴候）頻繁に下痢がありますか？おなかをかなり痛がりますか？尿量が減ったり、尿が濃くなったりしていますか？嘔吐がありますか？水分が十分にとれませんか？家族･近所･保育園･幼稚園･学校などで同じような症状の人が多いですか？一緒に食事をした人が、同様の症状を訴えていますか？最近、外食･生もの･保存状態のよくない食品などを食べましたか？嘔吐が３回以上つづいていますか？１ヶ月以内に海外に渡航しましたか？（北米・ヨーロッパ以外）,緑
503,小児 腹痛（小児）,"元気がなく〔かつ〕ぐったりしていますか？ 
意識がもうろうとしていますか？　〔または〕　おかしなことを口走っていますか？　〔または〕　激しく泣いたり あばれたりしていますか？
（声をかけても ふつうに受け答えできない）
おなかがパンパンに張っていますか？ 
おまた（股の付け根、陰嚢など）が膨らんでいますか？ 
便にたくさんの血が混じっていますか？　〔または〕　便にイチゴゼリー様のものが混じっていますか？ 
歩けない（動けない）ほどの おなかの痛みが続いていますか？ 
痛みはだんだん強くなってきてるようですか？ 
おなかを軽く押すしただけでも 強い痛みがありますか？ 
嘔吐を何度も繰り返していますか？（回数の目安：6 回以上〔または〕吐物中に食物残渣がみられなくなっても2 ～ 3 回以上嘔吐を繰り返している）
吐いたものに血（赤い: 新鮮血、黒っぽい：旧血）が混じっていますか？ 
8 時間以上うとうとしていますか？
（ 声をかければ 受け答えできる）
尿が8-12 時間以上でていませんか？　（脱水徴候）
痛みはよくなったり悪くなったりを繰り返しながら、続いているようですか？ 
水分を十分にとれていないですか？ 
嘔吐　〔または〕　吐き気　〔または〕　下痢　はありますか？ 
便秘はありますか？ 
一緒に食事をした人が、同様の症状を訴えていますか？ 
最近、外食･生もの･保存状態のよくない食品などを食べましたか？ 
おなかをぶつけましたか？ おなかにあざやキズはありませんか？ 
尿に血液が混じっていましたか？ 
尿が出るとき痛がりますか？ 
以上の項目に当てはまらないとき。",あなたは救急医です。救急受診が必要かどうかを判断してください。小児腹痛（小児）。以下の項目には当てはまりません。元気がなくかつぐったりしていますか？意識がもうろうとしていますか？またはおかしなことを口走っていますか？または激しく泣いたりあばれたりしていますか？（声をかけてもふつうに受け答えできない）おなかがパンパンに張っていますか？おまた（股の付け根、陰嚢など）が膨らんでいますか？便にたくさんの血が混じっていますか？または便にイチゴゼリー様のものが混じっていますか？歩けない（動けない）ほどのおなかの痛みが続いていますか？痛みはだんだん強くなってきてるようですか？おなかを軽く押すしただけでも強い痛みがありますか？嘔吐を何度も繰り返していますか？（回数の目安：6回以上または吐物中に食物残渣がみられなくなっても2～3回以上嘔吐を繰り返している）吐いたものに血（赤い:新鮮血、黒っぽい：旧血）が混じっていますか？8時間以上うとうとしていますか？（声をかければ受け答えできる）尿が8-12時間以上でていませんか？（脱水徴候）痛みはよくなったり悪くなったりを繰り返しながら、続いているようですか？水分を十分にとれていないですか？嘔吐または吐き気または下痢はありますか？便秘はありますか？一緒に食事をした人が、同様の症状を訴えていますか？最近、外食･生もの･保存状態のよくない食品などを食べましたか？おなかをぶつけましたか？おなかにあざやキズはありませんか？尿に血液が混じっていましたか？尿が出るとき痛がりますか？,緑
504,小児 便秘（小児）,いつも便秘気味ですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児便秘（小児）。いつも便秘気味ですか？はい。,緑
505,小児 便秘（小児）,数日以上便が出ていないですか？,あなたは救急医です。救急受診が必要かどうかを判断してください。小児便秘（小児）。数日以上便が出ていないですか？はい。,緑
